marea_id,number_of_calas,total_catch
146349,2,80
145662,6,260
144998,1,130
144311,1,40
144729,2,60
145393,1,5
146057,3,65
144829,6,300
144165,3,36
144288,5,220
144706,1,220
145370,3,335
146103,2,90
147431,2,320
145854,1,90
147182,3,50
145416,2,230
146541,3,30
147869,1,110
144480,6,280
145808,6,280
147477,3,240
146495,2,40
148118,4,300
148602,1,0
146687,1,60
148015,2,40
146000,2,30
147328,2,105
147623,2,95
148164,1,20
147228,1,75
148061,3,160
147374,2,85
148456,2,60
147915,3,110
145101,3,85
144603,4,110
147520,3,200
148184,2,100
148705,10,370
148041,3,60
147308,1,90
145977,4,240
147972,4,130
144626,2,130
147331,2,70
146667,1,80
144268,1,70
144434,1,15
145934,1,30
148513,4,70
147849,1,250
145834,2,190
145957,1,80
146498,2,80
145642,2,20
146475,1,40
147139,4,100
144583,2,65
144460,1,120
145001,2,100
145124,1,10
145665,1,20
146518,1,20
146767,2,130
147016,1,20
144752,1,45
146375,6,400
145877,2,30
148582,1,40
146910,3,150
144895,3,85
148476,1,40
148141,4,200
144503,2,25
147208,2,50
146126,1,100
147749,2,30
147351,1,60
145436,4,400
144795,2,120
147451,1,80
147500,3,300
145336,2,50
146959,2,300
146810,2,120
147643,1,70
147892,2,50
147743,5,450
144354,2,70
145018,1,50
147271,1,80
145350,1,40
147935,1,15
146369,6,300
145041,2,120
147248,1,5
146037,1,45
144331,1,130
147958,4,100
144191,2,90
145519,1,45
145496,4,200
144732,2,57
147557,2,100
146060,3,220
146229,2,200
146083,3,400
145542,2,70
146747,1,20
146206,1,40
145605,1,75
146684,1,35
146578,3,120
144563,2,190
144477,2,220
145559,3,300
144809,2,95
145891,3,120
147812,3,140
147726,1,25
147417,1,10
145413,3,75
148745,1,100
148499,1,30
146876,4,380
144523,1,40
146100,3,60
146189,1,80
147766,2,160
145064,3,50
147225,2,300
146143,2,15
146146,4,510
144669,3,60
144128,3,30
145210,1,15
145997,2,90
146538,1,140
146292,2,380
146833,1,20
145456,3,130
144437,3,90
144935,2,50
147354,2,100
145433,1,80
147852,1,40
144414,4,45
147875,5,550
144649,1,200
145645,2,45
145954,4,340
146335,3,180
144606,2,130
145104,2,90
144457,2,330
145127,3,70
144955,3,60
147162,3,110
145668,2,35
146621,1,30
147832,4,80
145147,2,30
144978,3,105
147311,4,190
147142,2,240
146601,1,80
147597,4,360
144586,2,135
145084,2,120
145582,2,250
147205,1,50
146080,2,50
146707,1,120
147703,4,120
144394,1,60
145476,2,100
146813,2,150
147895,2,115
144351,3,110
148436,2,40
146515,1,40
144500,1,100
145625,2,70
146166,2,100
146664,1,400
146123,2,80
144892,3,60
145974,2,65
147056,3,300
148138,3,60
144520,2,30
147437,1,70
145184,3,60
144543,1,30
147414,2,250
148078,3,290
144566,2,60
145894,2,35
147391,3,330
146727,2,40
146558,2,50
146063,1,120
148055,2,40
147368,4,140
145376,3,150
146581,1,30
146040,3,95
147245,3,110
147909,1,50
147932,3,80
148596,2,50
146604,1,40
147291,4,220
147955,5,190
148619,1,7
147978,1,20
148124,1,0
145107,2,80
147514,2,45
146435,1,240
146186,2,200
144420,1,40
144812,2,80
146140,1,25
147809,2,80
148450,3,90
145499,1,40
146827,1,80
144274,3,210
145353,1,20
145602,1,70
144666,3,90
144125,4,60
144961,1,25
146289,4,340
144228,2,100
145061,2,90
144374,3,65
144915,1,50
144769,2,290
145599,3,230
147188,2,70
147686,2,20
144248,3,320
148539,2,120
144981,2,100
145648,1,120
146312,2,400
146973,1,50
144958,3,30
145622,2,40
144440,2,30
148519,2,50
146355,2,90
146432,2,40
145791,3,90
146332,2,190
148496,1,30
146996,1,80
147998,4,210
145814,2,130
146647,2,160
147729,2,90
147806,2,100
147288,3,60
147165,4,80
147829,1,30
145771,1,50
145273,2,320
145522,4,100
146020,2,220
144205,3,230
