Marea,Planta,Embarcacion,Bodega,% Llenado,# Calas,TDC-Desc,TVN,año,temporada_año
129905,ILO,TASA 425,Frio,19.0,2,16.67,18.06,2018,2018-I
129907,ATICO,TASA 416,Tradicional,19.0,3,18.5,20.16,2018,2018-I
129908,ATICO,TASA 418,Tradicional,2.0,1,10.6,15.55,2018,2018-I
129909,ATICO,TASA 417,Tradicional,12.0,2,14.83,14.66,2018,2018-I
129926,ATICO,TASA 35,Estanca,7.0,1,9.48,14.46,2018,2018-I
129927,ATICO,TASA 38,Tradicional,12.0,3,14.67,22.51,2018,2018-I
129929,ATICO,TASA 210,Tradicional,9.0,1,15.43,20.62,2018,2018-I
129937,MATARANI,TASA 220,Tradicional,55.0,2,11.17,22.69,2018,2018-I
129946,MATARANI,TASA 32,Tradicional,13.0,2,5.7,22.15,2018,2018-I
129947,MATARANI,TASA 21,Estanca,42.0,1,7.45,19.83,2018,2018-I
129952,ILO,TASA 411,Tradicional,7.0,1,11.07,22.17,2018,2018-I
129967,ATICO,TASA 45,Frio,48.0,3,13.73,15.12,2018,2018-I
129968,MATARANI,TASA 35,Estanca,18.0,2,7.5,19.6,2018,2018-I
129969,MATARANI,TASA 37,Estanca,22.0,2,19.25,38.41,2018,2018-I
129970,MATARANI,TASA 38,Tradicional,40.0,3,9.7,17.69,2018,2018-I
129971,MATARANI,TASA 417,Tradicional,18.0,3,12.15,17.03,2018,2018-I
129972,ATICO,TASA 43,Frio,10.0,3,14.0,15.92,2018,2018-I
129973,MATARANI,TASA 426,Tradicional,33.0,3,18.0,34.3,2018,2018-I
129974,ATICO,TASA 36,Estanca,38.0,2,15.07,25.39,2018,2018-I
129975,MATARANI,TASA 210,Tradicional,12.0,1,8.5,21.02,2018,2018-I
129976,MATARANI,TASA 416,Tradicional,4.0,1,9.0,20.07,2018,2018-I
130161,ILO,TASA 22,Estanca,6.0,1,7.38,22.24,2018,2018-I
130162,ILO,TASA 210,Tradicional,12.0,1,14.68,21.37,2018,2018-I
130163,ILO,TASA 425,Frio,14.0,2,6.58,20.29,2018,2018-I
130164,ILO,TASA 426,Tradicional,21.0,2,11.45,20.49,2018,2018-I
130165,ILO,TASA 37,Estanca,4.0,1,13.95,22.09,2018,2018-I
130166,ILO,TASA 17,Tradicional,23.0,1,17.38,22.15,2018,2018-I
130167,ILO,TASA 418,Tradicional,12.0,1,7.48,22.31,2018,2018-I
130168,MATARANI,TASA 35,Estanca,27.0,2,6.2,18.29,2018,2018-I
130169,ILO,TASA 44,Frio,3.0,1,13.22,22.1,2018,2018-I
130170,MATARANI,TASA 36,Estanca,30.0,2,5.73,18.3,2018,2018-I
130171,ILO,TASA 43,Frio,9.0,2,11.47,17.84,2018,2018-I
130172,ILO,TASA 416,Tradicional,15.0,1,12.1,26.75,2018,2018-I
130173,ILO,TASA 45,Frio,19.0,1,15.32,22.41,2018,2018-I
130175,MATARANI,TASA 21,Estanca,9.0,2,8.33,19.0,2018,2018-I
130176,MATARANI,TASA 23,Estanca,38.0,2,13.4,27.2,2018,2018-I
130177,MATARANI,TASA 38,Tradicional,4.0,1,6.92,16.16,2018,2018-I
130178,MATARANI,TASA 411,Tradicional,5.0,2,13.83,37.54,2018,2018-I
130188,ILO,TASA 34,Estanca,24.0,1,13.1,22.77,2018,2018-I
