Marea,Planta,Embarcacion,Bodega,% Llenado,# Calas,TDC-Desc,TVN,año,temporada_año
128079,VEGUETA,TASA 417,Tradicional,24,2,15.73,20.29,2018,2018-II
128080,SUPE,TASA 310,Tradicional,15,2,13.63,24.3,2018,2018-II
128081,SUPE,TASA 415,Estanca,72,1,9.27,19.49,2018,2018-II
128082,VEGUETA,TASA 420,Tradicional,42,3,21.9,28.48,2018,2018-II
128083,SUPE,TASA 314,Tradicional,28,2,15.0,26.45,2018,2018-II
128084,VEGUETA,TASA 43,Frio,43,3,20.02,18.6,2018,2018-II
128085,SUPE,TASA 414,Estanca,28,2,15.1,23.48,2018,2018-II
128087,VEGUETA,TASA 45,Frio,28,2,13.75,15.84,2018,2018-II
128088,VEGUETA,TASA 44,Frio,31,2,17.68,20.78,2018,2018-II
128089,VEGUETA,TASA 416,Tradicional,40,2,13.75,18.56,2018,2018-II
128090,SUPE,TASA 418,Tradicional,19,1,10.78,21.14,2018,2018-II
128091,SUPE,TASA 31,Tradicional,40,2,15.65,28.09,2018,2018-II
128092,SUPE,TASA 32,Tradicional,35,2,11.6,24.22,2018,2018-II
128093,SUPE,TASA 424,Tradicional,25,2,15.78,32.23,2018,2018-II
128095,SUPE,TASA 34,Estanca,24,2,14.38,36.7,2018,2018-II
128096,CHIMBOTE,TASA 61,Frio,41,2,15.7,25.09,2018,2018-II
128097,SAMANCO,TASA 54,Frio,59,5,19.88,16.25,2018,2018-II
128098,MALABRIGO,TASA 22,Estanca,78,2,12.75,16.7,2018,2018-II
128099,MALABRIGO,TASA 38,Tradicional,65,3,17.68,15.38,2018,2018-II
128100,MALABRIGO,TASA 111,Tradicional,35,3,16.8,18.23,2018,2018-II
128101,MALABRIGO,TASA 218,Estanca,64,2,13.38,16.86,2018,2018-II
128103,CHIMBOTE,TASA 53,Frio,67,4,21.97,25.52,2018,2018-II
128104,MALABRIGO,TASA 21,Estanca,53,2,12.03,17.92,2018,2018-II
128105,CHIMBOTE,TASA 55,Frio,39,3,19.57,20.12,2018,2018-II
128106,SAMANCO,TASA 57,Frio,52,5,39.58,25.11,2018,2018-II
128109,MALABRIGO,TASA 425,Frio,67,4,20.75,23.26,2018,2018-II
128110,MALABRIGO,TASA 35,Estanca,15,1,18.08,38.4,2018,2018-II
128112,MALABRIGO,TASA 17,Tradicional,53,1,15.15,26.78,2018,2018-II
128114,CHIMBOTE,TASA 71,Frio,31,6,37.82,33.22,2018,2018-II
128115,MALABRIGO,TASA 37,Estanca,34,1,12.25,25.79,2018,2018-II
128118,MALABRIGO,TASA 426,Tradicional,54,3,10.27,26.66,2018,2018-II
128152,CHIMBOTE,TASA 419,Frio,71,3,29.68,20.56,2018,2018-II
128153,SAMANCO,TASA 51,Frio,60,5,22.62,19.1,2018,2018-II
128155,SAMANCO,TASA 56,Frio,56,3,21.08,17.15,2018,2018-II
128157,CHIMBOTE,TASA 41,Frio,40,4,21.82,19.14,2018,2018-II
128158,CHIMBOTE,TASA 59,Frio,71,1,7.95,15.55,2018,2018-II
128159,CHIMBOTE,TASA 52,Frio,47,7,34.17,39.69,2018,2018-II
128160,SUPE,TASA 412,Tradicional,9,1,8.63,24.19,2018,2018-II
128161,SUPE,TASA 413,Tradicional,14,1,16.18,30.24,2018,2018-II
128162,VEGUETA,TASA 416,Tradicional,59,3,15.17,23.6,2018,2018-II
128163,CHIMBOTE,TASA 61,Frio,35,5,41.3,21.04,2018,2018-II
128164,SUPE,TASA 45,Frio,84,3,20.32,25.31,2018,2018-II
128165,SUPE,TASA 415,Estanca,30,2,12.17,29.55,2018,2018-II
128166,VEGUETA,TASA 418,Tradicional,14,1,14.62,33.12,2018,2018-II
128167,SUPE,TASA 310,Tradicional,15,1,11.25,24.83,2018,2018-II
128168,SUPE,TASA 414,Estanca,18,2,14.6,29.67,2018,2018-II
128170,CHIMBOTE,TASA 427,Frio,30,3,17.67,20.78,2018,2018-II
128172,MALABRIGO,TASA 21,Estanca,42,3,11.6,19.95,2018,2018-II
128173,MALABRIGO,TASA 210,Tradicional,13,2,15.73,24.78,2018,2018-II
128174,MALABRIGO,TASA 22,Estanca,19,2,8.62,16.87,2018,2018-II
128175,MALABRIGO,TASA 37,Estanca,49,2,10.02,18.39,2018,2018-II
128177,MALABRIGO,TASA 220,Tradicional,63,3,11.9,15.11,2018,2018-II
128178,SUPE,TASA 424,Tradicional,32,2,10.53,24.4,2018,2018-II
128179,SUPE,TASA 314,Tradicional,40,2,14.0,31.7,2018,2018-II
128180,VEGUETA,TASA 417,Tradicional,54,3,18.8,33.89,2018,2018-II
128181,VEGUETA,TASA 32,Tradicional,37,1,10.7,21.8,2018,2018-II
128183,SUPE,TASA 34,Estanca,37,3,17.32,31.11,2018,2018-II
128184,SUPE,TASA 31,Tradicional,65,1,9.43,25.21,2018,2018-II
128185,SUPE,TASA 44,Frio,16,2,10.82,23.37,2018,2018-II
128186,CHIMBOTE,TASA 55,Frio,55,6,37.2,21.59,2018,2018-II
128187,CHIMBOTE,TASA 42,Frio,36,2,13.42,21.46,2018,2018-II
128188,MALABRIGO,TASA 53,Frio,30,5,35.88,19.59,2018,2018-II
128189,CHIMBOTE,TASA 54,Frio,34,6,35.15,19.96,2018,2018-II
128190,VEGUETA,TASA 43,Frio,70,3,12.78,19.98,2018,2018-II
128191,MALABRIGO,TASA 411,Tradicional,32,2,13.88,19.96,2018,2018-II
128192,MALABRIGO,TASA 35,Estanca,11,2,10.42,18.64,2018,2018-II
128193,MALABRIGO,TASA 23,Estanca,48,2,14.53,21.63,2018,2018-II
128195,CHIMBOTE,TASA 425,Frio,49,2,13.32,15.17,2018,2018-II
128198,MALABRIGO,TASA 38,Tradicional,60,2,8.53,17.02,2018,2018-II
128199,CHIMBOTE,TASA 426,Tradicional,63,3,15.85,24.28,2018,2018-II
128201,MALABRIGO,TASA 111,Tradicional,53,3,18.0,21.43,2018,2018-II
128202,MALABRIGO,TASA 17,Tradicional,58,1,6.4,22.96,2018,2018-II
128204,VEGUETA,TASA 420,Tradicional,78,3,18.37,30.14,2018,2018-II
128243,MALABRIGO,TASA 38,Tradicional,24,2,13.33,19.73,2018,2018-II
