Marea,Planta,Embarcacion,Bodega,% Llenado,# Calas,TDC-Desc,TVN,año,temporada_año
127905,CHIMBOTE,TASA 32,Tradicional,10,1,8.05,22.98,2018,2018-I
127906,CHIMBOTE,TASA 34,Estanca,13,1,7.18,21.16,2018,2018-I
127910,MALABRIGO,TASA 57,Frio,33,3,18.82,24.17,2018,2018-I
127911,MALABRIGO,TASA 41,Frio,14,2,22.28,25.26,2018,2018-I
127912,MALABRIGO,TASA 37,Estanca,17,1,7.98,18.44,2018,2018-I
127913,MALABRIGO,TASA 56,Frio,28,3,24.93,24.7,2018,2018-I
127915,MALABRIGO,TASA 220,Tradicional,21,2,9.68,16.41,2018,2018-I
127916,MALABRIGO,TASA 426,Tradicional,26,2,8.18,15.64,2018,2018-I
127918,MALABRIGO,TASA 58,Frio,40,3,19.72,19.47,2018,2018-I
127919,MALABRIGO,TASA 427,Frio,20,2,10.3,15.28,2018,2018-I
127921,MALABRIGO,TASA 59,Frio,55,3,7.02,19.34,2018,2018-I
127922,MALABRIGO,TASA 23,Estanca,21,2,6.08,15.1,2018,2018-I
127923,MALABRIGO,TASA 54,Frio,52,3,10.73,14.98,2018,2018-I
127924,MALABRIGO,TASA 51,Frio,52,3,21.47,35.69,2018,2018-I
127925,MALABRIGO,TASA 61,Frio,35,2,12.45,14.16,2018,2018-I
127926,MALABRIGO,TASA 36,Estanca,50,3,9.4,16.08,2018,2018-I
127927,MALABRIGO,TASA 411,Tradicional,19,1,6.98,21.0,2018,2018-I
127930,MALABRIGO,TASA 42,Frio,35,3,11.78,15.51,2018,2018-I
127931,MALABRIGO,TASA 111,Tradicional,9,1,8.48,15.72,2018,2018-I
127932,CHIMBOTE,TASA 52,Frio,2,1,8.37,21.15,2018,2018-I
127933,MALABRIGO,TASA 71,Frio,52,3,14.03,15.86,2018,2018-I
127934,MALABRIGO,TASA 419,Frio,9,1,19.55,19.46,2018,2018-I
127937,CHIMBOTE,TASA 38,Tradicional,22,1,7.68,18.47,2018,2018-I
129719,ILO,TASA 425,Frio,44,1,13.38,16.16,2018,2018-I
129748,ILO,TASA 23,Estanca,7,1,17.0,19.15,2018,2018-I
129751,ILO,TASA 415,Estanca,23,1,15.65,19.28,2018,2018-I
129752,ILO,TASA 44,Frio,44,1,23.05,19.36,2018,2018-I
129753,ILO,TASA 21,Estanca,21,1,10.45,16.99,2018,2018-I
129754,ILO,TASA 34,Estanca,48,2,19.17,20.57,2018,2018-I
