Marea,Planta,Bodega,# Calas,TDC-Desc,TVN,año,temporada_año
155639,CHIMBOTE,Tradicional,2,17,21.0,2020,2020-I
155641,CHIMBOTE,Tradicional,1,8,18.1,2020,2020-I
155612,CHIMBOTE,Frio,3,14,19.5,2020,2020-I
155617,CHIMBOTE,Tradicional,2,13,19.5,2020,2020-I
155616,CHIMBOTE,Tradicional,3,15,25.0,2020,2020-I
155675,CHIMBOTE,Tradicional,3,18,25.7,2020,2020-I
155659,CHIMBOTE,Tradicional,2,19,25.2,2020,2020-I
155681,CHIMBOTE,Tradicional,2,12,22.4,2020,2020-I
155673,CHIMBOTE,Tradicional,1,10,23.6,2020,2020-I
155684,CHIMBOTE,Tradicional,2,13,25.4,2020,2020-I
155677,CHIMBOTE,Tradicional,2,8,20.4,2020,2020-I
155670,CHIMBOTE,Tradicional,1,11,22.3,2020,2020-I
155642,CHIMBOTE,Tradicional,2,13,22.8,2020,2020-I
155686,CHIMBOTE,Tradicional,2,7,19.6,2020,2020-I
155688,CHIMBOTE,Tradicional,1,3,20.2,2020,2020-I
155690,CHIMBOTE,Tradicional,1,4,19.9,2020,2020-I
155660,CHIMBOTE,Tradicional,1,15,21.9,2020,2020-I
155678,CHIMBOTE,Tradicional,2,13,21.6,2020,2020-I
155731,CHIMBOTE,Tradicional,4,14,22.3,2020,2020-I
155715,CHIMBOTE,Tradicional,2,14,22.2,2020,2020-I
155721,CHIMBOTE,Tradicional,1,9,22.4,2020,2020-I
155722,CHIMBOTE,Tradicional,1,9,21.4,2020,2020-I
155726,CHIMBOTE,Tradicional,3,9,19.6,2020,2020-I
155720,CHIMBOTE,Tradicional,2,10,19.1,2020,2020-I
155714,CHIMBOTE,Tradicional,2,10,18.6,2020,2020-I
155738,CHIMBOTE,Tradicional,3,13,22.1,2020,2020-I
155730,CHIMBOTE,Frio,4,29,16.0,2020,2020-I
155787,CHIMBOTE,Tradicional,3,13,22.2,2020,2020-I
155784,CHIMBOTE,Tradicional,2,8,20.7,2020,2020-I
155734,CHIMBOTE,Frio,1,27,19.2,2020,2020-I
155735,CHIMBOTE,Tradicional,2,18,22.3,2020,2020-I
155756,CHIMBOTE,Tradicional,2,11,19.3,2020,2020-I
155772,CHIMBOTE,Tradicional,1,15,21.2,2020,2020-I
155765,CHIMBOTE,Tradicional,3,13,19.9,2020,2020-I
155770,CHIMBOTE,Tradicional,2,18,24.6,2020,2020-I
155774,CHIMBOTE,Tradicional,2,16,22.4,2020,2020-I
155783,CHIMBOTE,Tradicional,1,7,18.5,2020,2020-I
155782,CHIMBOTE,Tradicional,1,6,25.8,2020,2020-I
155781,CHIMBOTE,Tradicional,1,5,21.7,2020,2020-I
155737,CHIMBOTE,Tradicional,2,9,20.5,2020,2020-I
155785,CHIMBOTE,Tradicional,1,6,20.3,2020,2020-I
155831,CHIMBOTE,Tradicional,2,21,27.2,2020,2020-I
155830,CHIMBOTE,Tradicional,1,14,19.9,2020,2020-I
155805,CHIMBOTE,Tradicional,3,17,22.5,2020,2020-I
155832,CHIMBOTE,Tradicional,2,11,22.6,2020,2020-I
155810,CHIMBOTE,Tradicional,1,14,19.2,2020,2020-I
155792,CHIMBOTE,Tradicional,2,13,23.6,2020,2020-I
155804,CHIMBOTE,Tradicional,2,12,20.4,2020,2020-I
155806,CHIMBOTE,Tradicional,1,11,20.9,2020,2020-I
155797,CHIMBOTE,Tradicional,1,5,19.6,2020,2020-I
155790,CHIMBOTE,Frio,1,13,21.9,2020,2020-I
155829,CHIMBOTE,Tradicional,1,9,25.9,2020,2020-I
155842,CHIMBOTE,Tradicional,1,4,19.5,2020,2020-I
155809,CHIMBOTE,Tradicional,2,10,25.3,2020,2020-I
155793,CHIMBOTE,Tradicional,2,10,23.1,2020,2020-I
155779,CHIMBOTE,Tradicional,1,9,25.1,2020,2020-I
155833,CHIMBOTE,Tradicional,1,3,17.7,2020,2020-I
155794,CHIMBOTE,Tradicional,2,8,20.5,2020,2020-I
155798,CHIMBOTE,Tradicional,2,6,23.8,2020,2020-I
155796,CHIMBOTE,Tradicional,1,5,16.5,2020,2020-I
155799,CHIMBOTE,Tradicional,2,9,20.5,2020,2020-I
155795,CHIMBOTE,Tradicional,2,12,21.0,2020,2020-I
155887,CHIMBOTE,Tradicional,3,19,39.2,2020,2020-I
155873,CHIMBOTE,Tradicional,2,18,27.4,2020,2020-I
155870,CHIMBOTE,Tradicional,2,18,23.5,2020,2020-I
155884,CHIMBOTE,Tradicional,1,15,26.6,2020,2020-I
155844,CHIMBOTE,Tradicional,1,16,22.7,2020,2020-I
155863,CHIMBOTE,Tradicional,1,10,18.7,2020,2020-I
155856,CHIMBOTE,Tradicional,2,11,23.5,2020,2020-I
155855,CHIMBOTE,Tradicional,1,12,24.4,2020,2020-I
155846,CHIMBOTE,Tradicional,3,16,19.5,2020,2020-I
155847,CHIMBOTE,Tradicional,3,13,19.4,2020,2020-I
155849,CHIMBOTE,Tradicional,1,11,25.2,2020,2020-I
155852,CHIMBOTE,Tradicional,3,13,23.0,2020,2020-I
155853,CHIMBOTE,Tradicional,2,14,20.4,2020,2020-I
155851,CHIMBOTE,Tradicional,3,13,18.5,2020,2020-I
155850,CHIMBOTE,Tradicional,1,10,20.3,2020,2020-I
155930,CHIMBOTE,Tradicional,2,21,23.0,2020,2020-I
155917,CHIMBOTE,Tradicional,2,11,25.2,2020,2020-I
155919,CHIMBOTE,Tradicional,1,10,23.8,2020,2020-I
155921,CHIMBOTE,Tradicional,2,12,27.2,2020,2020-I
155926,CHIMBOTE,Tradicional,1,10,27.3,2020,2020-I
155920,CHIMBOTE,Tradicional,1,7,18.9,2020,2020-I
155916,CHIMBOTE,Tradicional,3,8,18.5,2020,2020-I
155972,CHIMBOTE,Tradicional,2,11,18.9,2020,2020-I
155964,CHIMBOTE,Tradicional,2,9,20.0,2020,2020-I
155918,CHIMBOTE,Tradicional,2,22,19.4,2020,2020-I
155967,CHIMBOTE,Tradicional,3,11,19.8,2020,2020-I
155933,CHIMBOTE,Tradicional,1,9,19.8,2020,2020-I
155935,CHIMBOTE,Tradicional,2,17,20.3,2020,2020-I
155975,CHIMBOTE,Tradicional,2,12,20.7,2020,2020-I
155913,CHIMBOTE,Tradicional,1,11,22.7,2020,2020-I
155924,CHIMBOTE,Tradicional,2,13,24.2,2020,2020-I
155936,CHIMBOTE,Tradicional,3,19,23.3,2020,2020-I
155923,CHIMBOTE,Tradicional,2,14,21.6,2020,2020-I
155922,CHIMBOTE,Frio,2,12,18.0,2020,2020-I
155907,CHIMBOTE,Frio,4,19,18.2,2020,2020-I
155951,CHIMBOTE,Frio,1,15,22.3,2020,2020-I
155908,CHIMBOTE,Frio,4,28,18.7,2020,2020-I
155903,CHIMBOTE,Frio,4,26,21.2,2020,2020-I
156000,CHIMBOTE,Tradicional,1,12,23.2,2020,2020-I
156014,CHIMBOTE,Tradicional,1,10,21.5,2020,2020-I
155946,CHIMBOTE,Frio,3,25,20.2,2020,2020-I
155976,CHIMBOTE,Frio,3,12,19.8,2020,2020-I
155978,CHIMBOTE,Frio,2,13,21.5,2020,2020-I
155999,CHIMBOTE,Frio,2,10,20.5,2020,2020-I
155982,CHIMBOTE,Frio,5,15,22.0,2020,2020-I
156023,CHIMBOTE,Tradicional,3,17,25.3,2020,2020-I
155980,CHIMBOTE,Frio,4,22,22.0,2020,2020-I
155981,CHIMBOTE,Frio,5,22,22.1,2020,2020-I
156025,CHIMBOTE,Frio,2,13,16.0,2020,2020-I
156050,CHIMBOTE,Frio,1,10,18.5,2020,2020-I
156034,CHIMBOTE,Frio,3,18,17.4,2020,2020-I
156030,CHIMBOTE,Frio,2,17,18.8,2020,2020-I
156051,CHIMBOTE,Frio,1,12,15.2,2020,2020-I
156062,CHIMBOTE,Tradicional,1,14,16.5,2020,2020-I
156064,CHIMBOTE,Tradicional,3,14,21.3,2020,2020-I
156058,CHIMBOTE,Tradicional,3,18,24.6,2020,2020-I
156061,CHIMBOTE,Tradicional,2,19,28.1,2020,2020-I
156096,CHIMBOTE,Frio,3,18,30.4,2020,2020-I
156059,CHIMBOTE,Tradicional,2,21,35.8,2020,2020-I
156060,CHIMBOTE,Tradicional,2,19,25.5,2020,2020-I
156057,CHIMBOTE,Frio,2,14,15.8,2020,2020-I
156063,CHIMBOTE,Frio,1,14,18.6,2020,2020-I
156107,CHIMBOTE,Tradicional,2,11,20.5,2020,2020-I
156128,CHIMBOTE,Tradicional,1,7,20.9,2020,2020-I
156106,CHIMBOTE,Tradicional,1,8,15.8,2020,2020-I
156097,CHIMBOTE,Tradicional,1,9,23.9,2020,2020-I
156130,CHIMBOTE,Tradicional,2,10,15.1,2020,2020-I
156101,CHIMBOTE,Tradicional,2,3,19.8,2020,2020-I
156098,CHIMBOTE,Tradicional,2,9,20.7,2020,2020-I
156117,CHIMBOTE,Tradicional,2,9,20.7,2020,2020-I
156175,CHIMBOTE,Tradicional,1,9,21.7,2020,2020-I
156079,CHIMBOTE,Tradicional,1,9,21.5,2020,2020-I
156156,CHIMBOTE,Frio,1,18,25.1,2020,2020-I
156120,CHIMBOTE,Frio,3,37,17.9,2020,2020-I
156158,CHIMBOTE,Tradicional,1,15,33.6,2020,2020-I
156166,CHIMBOTE,Tradicional,1,17,35.2,2020,2020-I
156182,CHIMBOTE,Tradicional,3,18,28.9,2020,2020-I
156194,CHIMBOTE,Frio,2,13,22.1,2020,2020-I
156174,CHIMBOTE,Tradicional,1,8,19.7,2020,2020-I
156199,CHIMBOTE,Tradicional,2,16,19.7,2020,2020-I
156171,CHIMBOTE,Tradicional,2,18,31.8,2020,2020-I
156195,CHIMBOTE,Tradicional,2,20,23.3,2020,2020-I
156163,CHIMBOTE,Tradicional,3,19,23.8,2020,2020-I
156169,CHIMBOTE,Tradicional,2,13,24.1,2020,2020-I
156149,CHIMBOTE,Frio,2,13,21.7,2020,2020-I
156170,CHIMBOTE,Tradicional,1,12,29.2,2020,2020-I
156167,CHIMBOTE,Tradicional,2,14,25.3,2020,2020-I
156164,CHIMBOTE,Tradicional,1,11,26.6,2020,2020-I
156239,CHIMBOTE,Tradicional,1,11,18.6,2020,2020-I
156240,CHIMBOTE,Tradicional,2,18,17.9,2020,2020-I
156252,CHIMBOTE,Tradicional,2,14,17.5,2020,2020-I
156255,CHIMBOTE,Frio,2,11,18.6,2020,2020-I
156257,CHIMBOTE,Frio,3,10,17.6,2020,2020-I
156237,CHIMBOTE,Tradicional,3,21,25.1,2020,2020-I
156190,CHIMBOTE,Frio,1,10,15.6,2020,2020-I
